sample,animal,wl1,wl2,wl3,wl4,wl5,wl6,wl7,wl8,wl9,wl10,wl11,wl12,wl13,wl14,wl15
1,P,0.006403415,0.00508755,0.0046049,0.004872287,0.005266408,0.005542063,0.006523572,0.005974199,0.004000811,0.002888228,0.00278218,0.002923214,0.002803848,0.002779341,0.002876002
2,P,0.006051125,0.004786527,0.004239606,0.004335031,0.005011858,0.006228572,0.008896545,0.008091701,0.004673604,0.002876077,0.002643394,0.002696253,0.002564167,0.002536426,0.002615874
3,P,0.007207834,0.005498641,0.004503011,0.004131488,0.004284753,0.004709931,0.006184107,0.005935156,0.003860094,0.002852435,0.002730555,0.002797077,0.002724411,0.002719651,0.002757239
4,P,0.007010019,0.00536468,0.004407424,0.004125514,0.004248614,0.004597803,0.005670132,0.005420983,0.003745805,0.002843745,0.002760015,0.002878321,0.002867826,0.002930993,0.00298392
5,P,0.006465042,0.005026458,0.004342729,0.004350954,0.004859852,0.00577491,0.007784759,0.007209101,0.004456934,0.002985934,0.002794923,0.002876713,0.002720662,0.00262087,0.002672092
6,P,0.006584879,0.005123388,0.004336626,0.004279289,0.004707987,0.005255696,0.006482893,0.006070373,0.004062917,0.002921846,0.002809629,0.002920128,0.002833341,0.002816634,0.002880237
7,P,0.006710972,0.005189032,0.004422008,0.004345797,0.004813394,0.005409444,0.00679321,0.006412322,0.004043897,0.002852519,0.002717151,0.002788112,0.00271654,0.002716206,0.002782224
8,T,0.00485257,0.004005256,0.003873958,0.005183664,0.005721909,0.006116676,0.005812541,0.004429819,0.003232311,0.002417565,0.002374584,0.002519089,0.002642048,0.003042229,0.00361719
9,T,0.005257371,0.004215971,0.003972479,0.005238842,0.005658608,0.005603046,0.005436481,0.004040826,0.002836009,0.002244703,0.002280343,0.002475794,0.002724789,0.003294466,0.003770419
10,T,0.006277873,0.004896967,0.004353999,0.005006583,0.005339932,0.005196223,0.005228307,0.004188543,0.00305499,0.002540893,0.002578199,0.002738995,0.002848184,0.003128371,0.003312065
11,T,0.00485614,0.004072982,0.003588243,0.004235758,0.004969429,0.005065244,0.004850855,0.004154636,0.003280467,0.002547807,0.0025384,0.002692554,0.002835126,0.003170035,0.003581112
12,T,0.004898276,0.004040847,0.004006134,0.005555078,0.006112954,0.006161858,0.005793016,0.004272499,0.002961265,0.002222965,0.002215198,0.002345032,0.002468966,0.002917987,0.00349379
13,T,0.006031909,0.004736397,0.004113024,0.004550316,0.00512249,0.005173743,0.005079215,0.003967783,0.003000538,0.0024371,0.002419601,0.002540662,0.002627077,0.00285316,0.00307378
14,T,0.006201467,0.004878446,0.004139196,0.004329839,0.004980269,0.004798371,0.004543338,0.004172062,0.003110962,0.002598006,0.002549843,0.002670033,0.002794815,0.002991107,0.003236467
15,T,0.005597591,0.004367646,0.003767914,0.004237174,0.004934689,0.005024261,0.004919089,0.003922375,0.002882043,0.0023881,0.002445266,0.002604448,0.002786082,0.003149298,0.003465636
16,T,0.004991226,0.004035321,0.003634011,0.004791112,0.00547611,0.005574182,0.005272566,0.004161517,0.003197176,0.002363778,0.002395779,0.002569672,0.002717908,0.003065317,0.00347774
17,T,0.005386261,0.00426209,0.003973573,0.004938706,0.005653907,0.005928675,0.005678848,0.004332035,0.003061636,0.002427389,0.002466313,0.0026403,0.002832288,0.003300349,0.003767236
18,T,0.005876603,0.0046457,0.004244108,0.005202672,0.005659722,0.00567931,0.005620779,0.004225248,0.003042144,0.00238228,0.002391762,0.002571263,0.002767566,0.003178171,0.003438292
19,C,0.007532596,0.005627995,0.00448054,0.004061456,0.004171601,0.00420686,0.004157595,0.003894176,0.003324835,0.002980532,0.002997278,0.00307986,0.003047132,0.003046404,0.003104614
20,C,0.007670173,0.005708295,0.004492984,0.003975029,0.003936749,0.004055417,0.004051294,0.003745608,0.00327679,0.002975668,0.003002684,0.003065257,0.003003899,0.002985643,0.003043725
21,C,0.006629797,0.00506111,0.004195882,0.004109746,0.004592912,0.004902706,0.004895316,0.004522375,0.003675953,0.003131966,0.003171622,0.003271249,0.003144513,0.003035798,0.003141432
22,C,0.007766948,0.005808259,0.004616897,0.004161614,0.004200215,0.004137514,0.003989917,0.003649109,0.003198149,0.002941795,0.00293805,0.003015083,0.00296678,0.002983494,0.003020563
23,C,0.007788424,0.005814683,0.004593252,0.004132973,0.004111841,0.004100321,0.00402148,0.003718516,0.003229951,0.00291965,0.002917339,0.002988145,0.002942323,0.002941589,0.003015184
24,C,0.00693372,0.005271462,0.004318833,0.004105745,0.004416609,0.004646663,0.004786,0.004456903,0.003619681,0.003158306,0.003299162,0.003469361,0.003157863,0.003014254,0.00311529
25,C,0.00750632,0.00560667,0.004416571,0.003926561,0.003831405,0.003749743,0.003769896,0.003553122,0.003147579,0.002918468,0.002960737,0.003075485,0.003103418,0.003190583,0.003252408
26,C,0.006964004,0.005279026,0.004284141,0.00405694,0.004326269,0.004463448,0.004450569,0.004089008,0.003466673,0.003062856,0.003087267,0.003175752,0.003096942,0.003069968,0.003162873
27,C,0.007210453,0.005423553,0.004359648,0.004042268,0.004188402,0.004272064,0.004350291,0.003996344,0.003308436,0.002913828,0.002939972,0.003042417,0.003018405,0.00306777,0.003161512
28,C,0.008255512,0.00607447,0.004649714,0.003930762,0.003627907,0.003489235,0.003424649,0.0031449,0.002944836,0.002820475,0.002872161,0.002959935,0.002959271,0.00299677,0.003025807
29,C,0.007771007,0.005785624,0.004539088,0.004055709,0.003950591,0.003949846,0.00402297,0.003713172,0.003256455,0.002959038,0.002983835,0.003057369,0.003027575,0.00301128,0.003060054
